Source JSON File,Tax ID,confidence,Receipt Number,confidence,Date,confidence,Time,confidence,Total Amount,confidence,Store name,confidence,Order item,confidence,Item Price,confidence,QTY,confidence,Branch ID
17391880158988094030991543271715 - Victor Lee.json,0105565082764(VAT,0.936,0100003156,0.518,2025-02-10,0.753,18:44:00,0.976,475,0.401,Shake Shack,0.503,1 $ 50/50,0.759,90,0.294,,0.051,
17392432489851634215786690802620 - Victor Lee.json,0105546032501,0.997,N5RIB,0.478,2025-02-11,0.988,10:06:00,0.995,170,0.375,A KEEN HOUSE,0.286,Hot Americano,0.15,170,0.386,1,0.985,
17392556877285636938820239881652 - Victor Lee.json,0105563082708,0.963,ONERC022568/000679,0.928,2025-02-11,0.99,13:33:00,0.985,553.19,0.345,SAEMAEUL SIKDANG,0.356,Oolong Tea,0.883,60,0.478,1,0.984,
17392556877285636938820239881652 - Victor Lee.json,0105563082708,0.963,ONERC022568/000679,0.928,2025-02-11,0.99,13:33:00,0.985,553.19,0.345,SAEMAEUL SIKDANG,0.356,ICE,0.433,0,0.446,1,0.753,
17392556877285636938820239881652 - Victor Lee.json,0105563082708,0.963,ONERC022568/000679,0.928,2025-02-11,0.99,13:33:00,0.985,553.19,0.345,SAEMAEUL SIKDANG,0.356,Set A (Non-BBQ),0.984,0,0.507,1,0.988,
17392556877285636938820239881652 - Victor Lee.json,0105563082708,0.963,ONERC022568/000679,0.928,2025-02-11,0.99,13:33:00,0.985,553.19,0.345,SAEMAEUL SIKDANG,0.356,Non-BBQ Side Dishes,0.957,0,0.527,1,0.985,
17392556877285636938820239881652 - Victor Lee.json,0105563082708,0.963,ONERC022568/000679,0.928,2025-02-11,0.99,13:33:00,0.985,553.19,0.345,SAEMAEUL SIKDANG,0.356,Yetnal Dosirak,0.991,180,0.551,1,0.98,
17392556877285636938820239881652 - Victor Lee.json,0105563082708,0.963,ONERC022568/000679,0.928,2025-02-11,0.99,13:33:00,0.985,553.19,0.345,SAEMAEUL SIKDANG,0.356,Cheese Gyeran Jjim,0.99,230,0.55,1,0.986,
1739424408521491063334583929598 - Victor Lee.json,0105557140408,0.997,RC1POB022568/000883,0.985,2025-02-13,0.99,12:25:00,0.996,165,0.316,"Karnnarong Group Co.,Ltd.",0.82,(TW)(P) ชาไทยรอยัล 25% (L ...,0.357,155,0.173,0.1,0.125,
17394244429964751398149928933402 - Victor Lee.json,0107566000453,0.996,MGR019P2220002532,0.988,2025-02-13,0.967,11:53:58,0.997,588.5,0.619,บริษัท มากุโระ กรุ๊ป จำกัด (มหาชน),0.384,Oceans Harmony Don,0.645,500,0.177,1,0.893,
17395037197623171553911853500074 - Victor Lee.json,,0.89,99,0.505,2025-02-14,0.976,10:22:00,0.965,60,0.582,ONE TO TWO COFFEE COMPANY,0.892,AMERICANO · ICED,0.151,60,0.31,1,0.963,
7eleven_Potch_01.json,TAX#0107542000011,0.888,R#0000079671P4,0.312,2025-01-23,0.94,18:38:00,0.97,65,0.579,"CP ALL,7-Eleven ONE BANGKOK(19736)",0.501,AS มัทฉะลาเต้เย็น,0.303,65,0.832,1,0.708,
AIS - Kitti B..json,0105548115897,0.895,1183241000000012,0.979,2024-10-25,0.929,,0.918,710,0.477,บริษัท แอดวานซ์ ไวร์เลส เน็ทเวอร์ค จำกัด (สาขาที่ 00515),0.315,WHY FUJI-10 POWERBANK 10000 PD20W BK DP,0.286,663.55,0.515,1,0.696,
AIS_2 - Kitti B..json,0105548115897,0.922,1183241000000013,0.987,2024-10-25,0.988,,0.825,710,0.507,บริษัท แอดวานซ์ ไวร์เลส เน็ทเวอร์ค จำกัด (สาขาที่ 00515),0.413,WHY FUJI-10 POWERBANK 10000 PD20W BK DP,0.501,663.55,0.59,1,0.344,
Amazon1 - Victor Lee.json,0107561000013,0.997,No.5070RC012568/002056,0.612,2025-01-13,0.98,11:04:00,0.985,75,0.583,บมจ.ปตท. น้ำมันและการค้าปลีก,0.279,TW อเมซอน เอ็กซ์ตร้า เย็น,0.184,75,0.438,1,0.804,
Amazon1 - Victor Lee.json,0107561000013,0.997,No.5070RC012568/002056,0.612,2025-01-13,0.98,11:04:00,0.985,75,0.583,บมจ.ปตท. น้ำมันและการค้าปลีก,0.279,TW ไม่หวาน 0%,0.401,0,0.622,1,0.712,
Amazon2- Victor Lee.json,0107561000013,0.996,No.5069RC012568/003816,0.861,2025-01-14,0.985,08:59:00,0.984,75,0.516,บมจ.ปตท. น้ำมันและการค้าปลีก,0.29,TW อเมซอน เอ็กซ์ตร้า เย็น,0.515,75,0.208,1,0.98,
Amazon2- Victor Lee.json,0107561000013,0.996,No.5069RC012568/003816,0.861,2025-01-14,0.985,08:59:00,0.984,75,0.516,บมจ.ปตท. น้ำมันและการค้าปลีก,0.29,TW ไม่หวาน 0%,0.518,0,0.303,1,0.96,
Amazon_Thidarat Piajan_18.json,0107561000013,0.997,No.5070RC012568/003044,0.624,2025-01-19,0.985,17:06:00,0.989,130,0.624,บมจ. ปตท. น้ำมันและการค้าปลีก,0.279,TW แบล็คคอฟฟี่น้ำผึ้งมะนาว,0.688,75,0.39,1,0.989,
Amazon_Thidarat Piajan_18.json,0107561000013,0.997,No.5070RC012568/003044,0.624,2025-01-19,0.985,17:06:00,0.989,130,0.624,บมจ. ปตท. น้ำมันและการค้าปลีก,0.279,TW แซนวิชทูน่าครีมชีส AMZ,0.376,55,0.52,1,0.989,
Anri_Potch_01.json,,0.877,,0.813,2025-01-23,0.994,17:39:04,0.998,198,0.629,Anri Bakery,0.989,Aomori Apple Pie (1 ชิ้น),0.29,198,0.16,2,0.256,
A_Keen_House_Kanchaya.json,0105546032501,0.995,,0.918,2025-01-22,0.978,18:56:00,0.998,320,0.389,A KEEN HOUSE,0.392,Black Sesame Latte,0.58,320,0.174,2,0.977,
BCUC - Victor Lee.json,,0.877,03001252,0.99,2025-01-22,0.929,11:24:00,0.979,135,0.29,Bluecoffee-one.bangkok,0.163,Blue latte,0.209,135,0.987,1,0.963,
BHC Chicken_Saknoppon.json,0105566141560,0.998,BHC10RC012568/003470,0.985,2025-01-30,0.996,13:10:00,0.997,955.19,0.479,BHC Chicken,0.822,Retro,0.982,0,0.29,1,0.922,
BHC Chicken_Saknoppon.json,0105566141560,0.998,BHC10RC012568/003470,0.985,2025-01-30,0.996,13:10:00,0.997,955.19,0.479,BHC Chicken,0.822,- (M) Retro Boneless,0.96,239,0.284,1,0.931,
BHC Chicken_Saknoppon.json,0105566141560,0.998,BHC10RC012568/003470,0.985,2025-01-30,0.996,13:10:00,0.997,955.19,0.479,BHC Chicken,0.822,Macho King,0.968,0,0.372,1,0.923,
BHC Chicken_Saknoppon.json,0105566141560,0.998,BHC10RC012568/003470,0.985,2025-01-30,0.996,13:10:00,0.997,955.19,0.479,BHC Chicken,0.822,- (M) Macho King Boneless,0.828,289,0.238,1,0.996,
BHC Chicken_Saknoppon.json,0105566141560,0.998,BHC10RC012568/003470,0.985,2025-01-30,0.996,13:10:00,0.997,955.19,0.479,BHC Chicken,0.822,Pickled Radish (Free),0.964,0,0.364,1,0.94,
BHC Chicken_Saknoppon.json,0105566141560,0.998,BHC10RC012568/003470,0.985,2025-01-30,0.996,13:10:00,0.997,955.19,0.479,BHC Chicken,0.822,Coleslaw (Free),0.97,0,0.338,1,0.995,
BHC Chicken_Saknoppon.json,0105566141560,0.998,BHC10RC012568/003470,0.985,2025-01-30,0.996,13:10:00,0.997,955.19,0.479,BHC Chicken,0.822,Bburing Cheese Balls,0.978,199,0.208,1,0.996,
BHC Chicken_Saknoppon.json,0105566141560,0.998,BHC10RC012568/003470,0.985,2025-01-30,0.996,13:10:00,0.997,955.19,0.479,BHC Chicken,0.822,Korean Steamed Rice,0.964,35,0.291,1,0.996,
BHC Chicken_Saknoppon.json,0105566141560,0.998,BHC10RC012568/003470,0.985,2025-01-30,0.996,13:10:00,0.997,955.19,0.479,BHC Chicken,0.822,Lemon Iced Tea (Pitcher),0.965,95,0.29,1,0.932,
BHC Chicken_Saknoppon.json,0105566141560,0.998,BHC10RC012568/003470,0.985,2025-01-30,0.996,13:10:00,0.997,955.19,0.479,BHC Chicken,0.822,Glass + Ice,0.982,0,0.287,3,0.926,
BHC- Victor Lee.json,0105566141560,0.998,BHC10RC012568/001849,0.98,2025-01-15,0.988,19:38:00,0.989,656.77,0.499,BHC Chicken,0.945,BHC American Fried Rice,0.982,249,0.279,1,0.92,
BHC- Victor Lee.json,0105566141560,0.998,BHC10RC012568/001849,0.98,2025-01-15,0.988,19:38:00,0.989,656.77,0.499,BHC Chicken,0.945,Bburing Cheese Balls,0.985,199,0.186,1,0.882,
BHC- Victor Lee.json,0105566141560,0.998,BHC10RC012568/001849,0.98,2025-01-15,0.988,19:38:00,0.989,656.77,0.499,BHC Chicken,0.945,Singha Beer (Bottle),0.979,110,0.292,1,0.894,
BHC- Victor Lee.json,0105566141560,0.998,BHC10RC012568/001849,0.98,2025-01-15,0.988,19:38:00,0.989,656.77,0.499,BHC Chicken,0.945,Singha Glass,0.978,0,0.342,1,0.867,
Big Camera - Kitti B..json,0107537001404,0.963,S24349- 000002,0.565,2024-10-25,0.978,13:08:23,0.95,3780,0.599,บริษัท บิ๊ก คาเมร่า คอร์ปอเรชั่น จำกัด (มหาชน),0.605,ขาตั้ง NATIONAL,0.68,1890,0.391,2,0.814,
BigC Market_1 - Kitti B..json,0107536000633,0.998,,0.379,2025-01-23,0.969,,0.813,92,0.288,BIGC MARKET THE ONE BANGKOK,0.92,1P อเมร้อน,0.505,45,0.287,,0.051,
BigC Market_1 - Kitti B..json,0107536000633,0.998,,0.379,2025-01-23,0.969,,0.813,92,0.288,BIGC MARKET THE ONE BANGKOK,0.92,1A โฮลวีททูน่า _FF,0.403,47,0.354,,0.051,
BigC Market_2 - Kitti B..json,0107536000633,0.996,,0.379,2025-01-24,0.985,,0.565,149,0.477,BIGC MARKET THE ONE BANGKOK,0.961,1A#อะโวคาโดผลกก,0.147,149,0.164,,0.051,
BigC Market_3 - Kitti B..json,0107536000633,0.98,11:21Rcpt#111006208,0.384,2025-01-24,0.976,,0.594,99,0.402,BIGC MARKET THE ONE BANGKOK,0.826,อาหาร เช้า ไข่ คน,0.479,99,0.203,1,0.208,
BigC Market_4 - Kitti B..json,0107536000633,0.996,11:44Rcpt#107004471,0.803,2025-01-24,0.945,,0.575,,0.575,BIGC MARKET THE ONE BANGKOK,0.931,1P อเมเยิน,0.591,50,0.313,1,0.162,
BigC Market_5 - Kitti B..json,0107536000633,0.992,,0.379,2025-01-20,0.96,,0.813,85,0.518,BIGC MARKET THE ONE BANGKOK,0.963,อะโวคาโดพร้อมทาน,0.164,85,0.162,1,0.352,
BigC Market_6 - Kitti B..json,0107536000633,0.967,,0.594,2025-01-16,0.743,,0.591,69,0.305,BIGC HARKET THE ONE BANGKOK,0.715,1A แร็ปไก่_FF,0.418,69,0.284,,0.051,
BigC Market_7 - Kitti B..json,0107536000633,0.937,,0.737,2025-01-22,0.822,,0.869,147.25,0.267,BIGC MARKET THE ONE BANGKOK,0.843,1A แร๊ปเคบับ_FF,0.364,73,0.478,,0.051,
BigC Market_7 - Kitti B..json,0107536000633,0.937,,0.737,2025-01-22,0.822,,0.869,147.25,0.267,BIGC MARKET THE ONE BANGKOK,0.843,1A BIGCH20น้ำแร่1.5,0.519,17,0.456,,0.051,
BigC Market_7 - Kitti B..json,0107536000633,0.937,,0.737,2025-01-22,0.822,,0.869,147.25,0.267,BIGC MARKET THE ONE BANGKOK,0.843,1P อเมร้อน ล มลไซ,0.706,45,0.474,,0.051,
BigC Market_7 - Kitti B..json,0107536000633,0.937,,0.737,2025-01-22,0.822,,0.869,147.25,0.267,BIGC MARKET THE ONE BANGKOK,0.843,1A เอธิ คั่วอ่อน,0.571,20,0.444,,0.051,
BigC Market_7 - Kitti B..json,0107536000633,0.937,,0.737,2025-01-22,0.822,,0.869,147.25,0.267,BIGC MARKET THE ONE BANGKOK,0.843,VA เอธิ คั่วอ่อน,0.691,-20,0.439,,0.051,
BigC Market_7 - Kitti B..json,0107536000633,0.937,,0.737,2025-01-22,0.822,,0.869,147.25,0.267,BIGC MARKET THE ONE BANGKOK,0.843,1A เคนย่า คั่วกลาง,0.596,20,0.399,,0.051,
BigC1 - Thanaphat.json,0107536000633,0.997,,0.575,2025-01-18,0.891,,0.575,,0.825,HUSMARKET THE ONE BANGKOK,0.753,1A TFไม่น้ำตาล250มล,0.597,18,0.152,,0.051,
BigC1- Victor Lee.json,0107536000633,0.99,,0.465,2025-01-14,0.963,,0.594,22,0.618,BCM ONE BANGKOK BANGKOK,0.33,1A เมจิไพเกน,0.208,22,0.401,1,0.139,
BigC2 - Thanaphat.json,0107536000633,0.983,,0.575,2025-01-16,0.754,,0.812,49,0.436,BIGC MARKET THE ONE BANGKOK,0.803,ข้าวสะโพกไก่อบซอ,0.108,49,0.162,1,0.168,
BigC2 - Victor Lee.json,0107536000633,0.964,,0.594,2025-01-15,0.985,,0.594,65,0.554,BIGÇ MARKET THE ONE BANGKOK,0.883,1P อเมเย็น,0.615,50,0.172,,0.051,
BigC2 - Victor Lee.json,0107536000633,0.964,,0.594,2025-01-15,0.985,,0.594,65,0.554,BIGÇ MARKET THE ONE BANGKOK,0.883,1P อเมริกาโน่ส้ม,0.609,65,0.304,,0.051,
BigC2 - Victor Lee.json,0107536000633,0.964,,0.594,2025-01-15,0.985,,0.594,65,0.554,BIGÇ MARKET THE ONE BANGKOK,0.883,VP อเมเย็น,0.604,-50,0.291,,0.051,
BigC2 - Victor Lee.json,0107536000633,0.964,,0.594,2025-01-15,0.985,,0.594,65,0.554,BIGÇ MARKET THE ONE BANGKOK,0.883,1P อเมเย็น,0.581,35,0.301,,0.051,
BigC2 - Victor Lee.json,0107536000633,0.964,,0.594,2025-01-15,0.985,,0.594,65,0.554,BIGÇ MARKET THE ONE BANGKOK,0.883,VP อเมริกาโน่ส้ม,0.57,-65,0.208,,0.051,
BigC2 - Victor Lee.json,0107536000633,0.964,,0.594,2025-01-15,0.985,,0.594,65,0.554,BIGÇ MARKET THE ONE BANGKOK,0.883,1P อเมริกาโน่ส้ม,0.515,30,0.346,,0.051,
BigC3- Victor Lee.json,0107536000633,0.965,18:08Rcpt#108006595,0.287,2025-01-20,0.983,,0.737,112,0.514,BIGC MARKET THE ONE BANGKOK,0.978,แคนตาลูปซันเลดี้,0.147,45,0.343,1,0.105,
BigC3- Victor Lee.json,0107536000633,0.965,18:08Rcpt#108006595,0.287,2025-01-20,0.983,,0.737,112,0.514,BIGC MARKET THE ONE BANGKOK,0.978,แตงโมซอนญ่า,0.286,30,0.286,1,0.292,
BigC3- Victor Lee.json,0107536000633,0.965,18:08Rcpt#108006595,0.287,2025-01-20,0.983,,0.737,112,0.514,BIGC MARKET THE ONE BANGKOK,0.978,ฝรั่งกลมสาลี่,0.421,36,0.33,1,0.301,
BigC_Market_1_Paisarn.json,0107536000833,0.985,,0.051,2025-01-17,0.97,,0.379,345,0.866,BIGC MARKET THE ONE BANGKOK,0.803,ควินโช ตราย เรต,0.176,345,0.342,1,0.197,
BigC_Market_2_Paisarn.json,0107536000633,0.989,,0.38,2025-01-21,0.962,,0.575,90,0.5,BIGC MARKET THE ONE BANGKOK,0.962,ข้าวราดกระเพราหมู,0.594,58,0.512,1,0.202,
BigC_Market_2_Paisarn.json,0107536000633,0.989,,0.38,2025-01-21,0.962,,0.575,90,0.5,BIGC MARKET THE ONE BANGKOK,0.962,เกี๊ยวซ่า ไส้หมู,0.609,32,0.519,1,0.477,
BKKBagals_Viravan V..json,0105553150026,0.962,00500004084,0.958,2025-01-22,0.995,10:32:42,0.993,139,0.285,BKKBagels One Bangkok,0.889,*Pro 139 Baht,0.47,139,0.325,1,0.895,
BKKBagals_Viravan V..json,0105553150026,0.962,00500004084,0.958,2025-01-22,0.995,10:32:42,0.993,139,0.285,BKKBagels One Bangkok,0.889,*Plain+,0.581,0,0.741,1,0.959,
BKKBagals_Viravan V..json,0105553150026,0.962,00500004084,0.958,2025-01-22,0.995,10:32:42,0.993,139,0.285,BKKBagels One Bangkok,0.889,*Pro0 H Americano +,0.512,0,0.803,1,0.954,
BKKBagals_Viravan V..json,0105553150026,0.962,00500004084,0.958,2025-01-22,0.995,10:32:42,0.993,139,0.285,BKKBagels One Bangkok,0.889,*B.Sea Salt +,0.559,0,0.892,1,0.95,
BKKBagels - Victor Lee.json,0105553150026,0.996,00500004065,0.912,2025-01-21,0.978,10:22:46,0.991,120,0.285,BKKBagels One Bangkok,0.929,*B.Everything,0.97,60,0.128,7,0.82,
BKKBagels - Victor Lee.json,0105553150026,0.996,00500004065,0.912,2025-01-21,0.978,10:22:46,0.991,120,0.285,BKKBagels One Bangkok,0.929,*Garlic Dill,0.987,60,0.933,1,0.888,
BKKBagles - Kitti B..json,0105553150026,0.997,00500004019,0.96,2025-01-19,0.99,15:06:33,0.996,120,0.523,BKKBagels One Bangkok,0.943,*B.Cinnamon Raisin,0.928,60,0.165,1,0.995,
BKKBagles - Kitti B..json,0105553150026,0.997,00500004019,0.96,2025-01-19,0.99,15:06:33,0.996,120,0.523,BKKBagels One Bangkok,0.943,*Plain,0.984,60,0.99,1,0.99,
Blendies_Potch_01.json,0105566032566,0.986,OP5JX,0.179,2025-01-23,0.991,13:36:00,0.982,219,0.208,"BLENDIES (THAILAND) Co.,Ltd.",0.29,Premium Signature (1 Scoop) Pistachio (พิสตาชิโอ),0.175,219,0.175,1,0.162,
Boon ton gee_Potch_01.json,0105565000466,0.985,BOR6801-01863,0.607,2025-01-23,0.985,17:33:01,0.813,,0.825,BOONTONGKEE,0.73,ไก่ต้นตำรับ M(N),0.8,410,0.931,1,0.928,
Boon ton gee_Potch_01.json,0105565000466,0.985,BOR6801-01863,0.607,2025-01-23,0.985,17:33:01,0.813,,0.825,BOONTONGKEE,0.73,ข้าวมัน,0.894,60,0.95,2,0.887,
Boon ton gee_Potch_01.json,0105565000466,0.985,BOR6801-01863,0.607,2025-01-23,0.985,17:33:01,0.813,,0.825,BOONTONGKEE,0.73,เต้าหู้ทอดพริกเกลือ,0.617,120,0.817,1,0.869,
Boon ton gee_Potch_01.json,0105565000466,0.985,BOR6801-01863,0.607,2025-01-23,0.985,17:33:01,0.813,,0.825,BOONTONGKEE,0.73,ซุปรากบัว S (N),0.714,120,0.921,1,0.931,
Boon ton gee_Potch_01.json,0105565000466,0.985,BOR6801-01863,0.607,2025-01-23,0.985,17:33:01,0.813,,0.825,BOONTONGKEE,0.73,ผักโขม ไข่ 3 อย่า. . .,0.518,190,0.862,1,0.812,
Boon ton gee_Potch_01.json,0105565000466,0.985,BOR6801-01863,0.607,2025-01-23,0.985,17:33:01,0.813,,0.825,BOONTONGKEE,0.73,น้ำดื่ม บุญตงกี่,0.456,60,0.595,2,0.817,
Boost_Potch_01.json,0115562030020,0.996,133024410,0.996,2025-01-23,0.997,18:14:00,0.989,100,0.358,Boost Juice Bars - One Bangkok,0.594,1 Med All Berry Bang,0.458,100,0.178,,0.051,
Cafe Kaldi - Kitti B..json,,0.918,#7-23025,0.685,2025-01-19,0.996,14:55:00,0.979,200,0.379,Cafe Kaldi_(Event One Bangkok),0.737,Yuzu CB SM,0.988,100,0.991,1,0.991,
Cafe Kaldi - Kitti B..json,,0.918,#7-23025,0.685,2025-01-19,0.996,14:55:00,0.979,200,0.379,Cafe Kaldi_(Event One Bangkok),0.737,Yuzu Earl Grey Tea SM,0.983,100,0.996,1,0.99,
Chatramae_Chalita.json,0105564006509,0.98,0160287,0.988,2025-01-23,0.996,09:08:10,0.988,45,0.579,ChaTtaMee Brand,0.614,Thai Tea Iced,0.961,45,0.873,1,0.762,
Copperwired _ Viravan.json,0107562000149,0.978,,0.881,,0.875,14:36:00,0.826,11990,0.478,บริษัท คอปเปอร์ ไวร์ด จำกัด (มหาชน),0.54,Xiaomi (SIS) Redmi Note 6932554402907 S/N .: 865590075422661 Premium Power Bank GC57 8859289662919,0.238,11990,0.237,,0.051,
Copperwired _ Viravan.json,0107562000149,0.978,,0.881,,0.875,14:36:00,0.826,11990,0.478,บริษัท คอปเปอร์ ไวร์ด จำกัด (มหาชน),0.54,Premium (SIS) Redmi Watc XMI-9645591569,0.396,1290,0.619,,0.051,
DQ_Potch_01.json,0105525046201,0.991,37439,0.862,2025-01-23,0.99,18:26:00,0.972,77,0.203,Minor DQ Company Limited,0.826,CONE (S) DIP C-CONE (S),0.968,12,0.124,15,0.127,
DQ_Potch_01.json,0105525046201,0.991,37439,0.862,2025-01-23,0.99,18:26:00,0.972,77,0.203,Minor DQ Company Limited,0.826,WAFFLE OREO BZ,0.965,,0.051,,0.051,
DQ_Potch_02.json,0105525046201,0.997,37435,0.957,2025-01-23,0.991,18:21:00,0.972,39,0.231,Minor DQ Company Limited,0.702,OREO SUNDAE,0.986,,0.051,,0.051,
DQ_Potch_03.json,0105525046201,0.987,37436,0.621,2025-01-23,0.996,18:22:00,0.99,45,0.208,Minor DQ Company Limited,0.858,CONE (L) DIP C-CONE (L),0.807,25,0.005,20,0.081,
DQ_Potch_04.json,0105525046201,0.989,37437,0.959,2025-01-23,0.991,18:23:00,0.97,49,0.208,Minor DQ Company Limited,0.859,BLIZ KITKAT(S),0.702,49,0.147,,0.051,
F.I.X. - Kitti B..json,0105561154302,0.998,00700001308,0.626,1968-01-23,0.985,13:49:45,0.987,389.5,0.375,F.I.X. ONE BANGKOK,0.947,Iced Latte M,0.987,130,0.361,1,0.987,
F.I.X. - Kitti B..json,0105561154302,0.998,00700001308,0.626,1968-01-23,0.985,13:49:45,0.987,389.5,0.375,F.I.X. ONE BANGKOK,0.947,Iced Cold Brew Black Tonic L,0.979,140,0.42,1,0.986,
F.I.X. - Kitti B..json,0105561154302,0.998,00700001308,0.626,1968-01-23,0.985,13:49:45,0.987,389.5,0.375,F.I.X. ONE BANGKOK,0.947,Iced Cold Brew Black Tonic L,0.98,140,0.58,1,0.989,
F.I.X. - Kitti B..json,0105561154302,0.998,00700001308,0.626,1968-01-23,0.985,13:49:45,0.987,389.5,0.375,F.I.X. ONE BANGKOK,0.947,Iced Latte M,0.987,130,0.361,1,0.987,
F.I.X. - Kitti B..json,0105561154302,0.998,00700001308,0.626,1968-01-23,0.985,13:49:45,0.987,389.5,0.375,F.I.X. ONE BANGKOK,0.947,Iced Cold Brew Black Tonic L,0.979,140,0.42,1,0.986,
